Target,Mass (Msun),M minus error,M plus error,Error confidence,System,Reference ,URL
Cyg X−2,1.9,0.35,0.22,,,,
4U 1724−207,1.81,0.37,0.25,,,,
SAX J1748.9−2021,1.81,0.37,0.25,,,,
4U 1820−30,1.77,0.28,0.25,,,,
EXO 1745−248,1.65,0.31,0.21,,,,
KS 1731−260,1.61,0.37,0.35,,,,
4U 1608−52,1.57,0.29,0.3,,,Table 3 of Ozel,https://arxiv.org/pdf/1603.02698.pdf
