Target,Mass (Msun),M minus error,M plus error,Error confidence,System,Reference ,URL
Vela X−1,2.12,0.16,0.16,,HMXB,,
EXO 1722−363,1.91,0.45,0.45,,HMXB,,
OAO 1657−415,1.74,0.3,0.3,,HMXB,,
LMC X−4,1.57,0.11,0.11,,HMXB,Table 3 of Ozel,https://arxiv.org/pdf/1603.02698.pdf
Cen X−3,1.57,0.16,0.16,,HMXB,,
SAX J1802.7−2017,1.57,0.25,0.25,,HMXB,,
XTE J1855−026,1.41,0.24,0.24,,HMXB,,
SMC X−1,1.21,0.12,0.12,,HMXB,,
Her X−1,1.07,0.36,0.36,,HMXB,,
4U 1538−522,1.02,0.17,0.17,,HMXB,,
